Módulo,Video Title,Status,Company,Instrutor,Property
Nivelamento,Como funciona a área de tecnologia das empresas,Published,,,
Nivelamento,Instalando Linux,Published,,,
Nivelamento,Material Extra - Instalando o Ubuntu,Published,,,
Nivelamento,Introdução Linux,Published,,,
Nivelamento,Introdução de Redes,Published,,,
Nivelamento,Conteúdo auxiliar para introdução de Redes,Published,,,
Nivelamento,Introdução SQL,Published,,,
Nivelamento,Material Extra - Vagrant,Published,,,
Nivelamento,Docker básico,Published,,,
Nivelamento,Introdução a versionamento e controle com git,Published,,,
Nivelamento,Comandos básicos de git,Published,,,
Módulo 1,Como criar e acessar contas nas Clouds e modos de acessos,Scheduled,,,
Módulo 1,Conceitos básicos FinOps,Scheduled,,,
Módulo 1,Conceitos básicos de Cloud,Scheduled,,,
Módulo 1,Principais serviços de Cloud,Scheduled,,,
Módulo 1,Redes em nuvem,Scheduled,Elvenworks,Bruno Almeida,
Módulo 1,Interconexão de Redes e Grupos de segurança,Scheduled,Elvenworks,Bruno Almeida,
Módulo 1,Wordpress em Nuvem [1/4] - Publicando uma primeira aplicação usando maquinas virtuais EC2,Scheduled,Elvenworks,Bruno Almeida,
Módulo 1,Wordpress em Nuvem [2/4] - Instalando o Wordpress no servidor WEB & Provisionando RDS,Scheduled,Elvenworks,Bruno Almeida,
Módulo 1,Wordpress em Nuvem [3/4] - Armazenamentos com resiliência - Multi AZ,Scheduled,Elvenworks,Bruno Almeida,
Módulo 1,"Wordpress em Nuvem [4/4] - Balanceador, Auto-scalling e arquitetura pronta (resiliente)",Scheduled,Elvenworks,Bruno Almeida,
Módulo 2,Material Extra - Como subir EC2 e acessar SSH novo painel AWS,Scheduled,,,
Módulo 2,Conceito de Centralização de Logs,Scheduled,,,
Módulo 2,Conceito de Monitoramento,Scheduled,,,
Módulo 2,Gestão de Incidentes,Scheduled,,,
Módulo 2,Gerenciamento de Incidentes,Scheduled,,,
Módulo 2,Matriz de Resiliência,Scheduled,,,
Módulo 2,Observabilidade,Scheduled,,,
Módulo 2,Zabbix,Scheduled,,,
Módulo 2,Prometheus,Scheduled,,,
Módulo 2,Elastic Stack,Scheduled,,,
Módulo 2,One Platform,Scheduled,,,
Módulo 2,Jaeger Monitoring,Scheduled,,,
Módulo 3,Conceito de Ambientes,Scheduled,,,
Módulo 3,IaC - Infraestrutura como Código,Scheduled,,,
Módulo 3,Ansible,Scheduled,,,
Módulo 3,Terraform,Scheduled,,,
Módulo 3,Terraform + Ansible,Scheduled,,,
Módulo 3,Material Extra - Sugestões de Leitura,Scheduled,,,
Módulo 3,Material Extra - Sugestões de Vídeos (en),Scheduled,,,
Módulo 3,Material Extra - Sugestões de projetos para praticar IaC,Scheduled,,,
Módulo 4,Docker - Instalação do Docker,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 4,"Docker Logs, stats, DockerFile  ",Scheduled,Elvenworks,Fabricio Lopes,
Módulo 4,Bancos de Dados Relacionais com Postgres,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 4,Orquestração de containers (Docker compose e kubernets),Scheduled,Elvenworks,Fabricio Lopes,
Módulo 4,AWS Relational Database Service (RDS) com Postgres,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 4,Lab Redis: Introdução ao AWS Elasticache com Redis,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Estratégias de deployment em nuvem,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Introdução ao Continuous Delivery,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Quais plataformas podemos usar?,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Quais ferramentas podemos usar?,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Quais tools iremos usar em nossos deploys?,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Como usar github action saas free,Scheduled,Elvenworks,Bruno Pereira,
Módulo 5,O que são Single Page Applications?,Scheduled,Elvenworks,Bruno Pereira,
Módulo 5,O que são Applications backend?,Scheduled,Elvenworks,Bruno Pereira,
Módulo 5,HandsOn React App to S3,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Extra - Adicionando CDN,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,Extra - Adicionando WAF,Scheduled,,,
Módulo 5,HandsOn Frontend to Firebase,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,HandsOn React App to Heroku,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 5,HandsOn Backend nodejs to Cloud,Scheduled,Elvenworks,Fabricio Lopes,
Módulo 6,"Cloud Economics FinOps ",Scheduled,,,
Módulo 6,Material Extra - Cloud Economics FinOps,Scheduled,,,
Módulo 6,Introdução a Engenharia de Confiabilidade e State of DevOps,Scheduled,,,
Módulo 6,Introdução a arquiteturas Cloud-Native & Principais serviços,Scheduled,,,
Módulo 6,Aprofundando em Arquiteturas Cloud-Native + 12Apps + Introdução a team topologies,Scheduled,,,
Módulo 6,Accelerate best practices and metrics,Scheduled,,,
Módulo 6,Application security,Scheduled,,,
Módulo 6,"Entrega dos TCC's ",Scheduled,,,
Módulo 6,Application security,Scheduled,Conviso,,
Módulo 6,FinOps,Scheduled,Cloud8,,